Ranking,Country,Score,Political Context,Economic Context,Legal Framework,Safety Score,Sociocultural Context,Difference In Position From 2022
148,Sudan,40.83,42.08,28.43,31.45,62.05,40.15,3
149,Libya,40.22,49,34.31,30.19,42.36,45.23,-6
150,Pakistan,39.95,42.71,37.25,48.11,23.57,48.11,7
151,Azerbaijan,39.93,35.45,25.91,38.95,49.35,50,3
152,Afghanistan,39.75,48.96,44.93,42.77,31.41,30.68,4
153,Tajikistan,39.06,34.17,37.09,51.57,36.3,36.17,-1
154,Kuwait,38.84,41.25,24.51,30.19,77.78,20.45,4
155,Oman,37.87,36.25,33.82,15.09,66.11,38.07,8
156,Palestine,37.86,40.47,40.2,44.34,27.95,36.36,14
157,Belarus,37.17,32.34,47.67,28.07,29.45,48.3,-4
158,Nicaragua,37.09,35.81,45.49,28.21,31.65,44.32,2
159,Venezuela,36.99,34.89,35.74,34.82,40.96,38.53,0
160,Laos,36.66,36.04,33.33,25.47,50.19,38.26,1
161,India,36.62,33.65,34.15,42.92,27.12,45.27,-11
162,Djibouti,35.87,39.25,25.49,34.53,51.9,28.18,2
163,Bangladesh,35.31,39.06,36.11,35.22,29.6,36.55,-1
164,Russia,34.77,32.43,36.17,34.51,31.82,38.94,-9
165,Türkiye,33.97,36.56,29.41,41.16,32.58,30.11,-16
166,Egypt,33.37,29.63,31.96,34.72,31.02,39.55,2
167,Iraq,32.94,39.25,28.04,31.13,29.9,36.36,5
168,Yemen,32.78,37.5,30.39,40.57,21.37,34.09,1
169,Honduras,32.65,40,33.33,39.94,27.61,22.37,-4
170,Saudi Arabia,32.43,37.19,33.33,21.7,39.8,30.11,-4
171,Bahrain,30.59,30.63,25.25,21.93,41.64,33.52,-4
172,Cuba,29,32.85,35.73,14.36,32.14,29.94,1
173,Myanmar,28.26,35.75,40.98,20.19,19.6,24.77,3
174,Eritrea,27.86,33.13,26.96,23.43,29.61,26.16,5
175,Syria,27.22,33.65,25.49,24.34,23.07,29.55,-4
176,Turkmenistan,25.82,23.25,20.39,29.62,46.53,9.32,1
177,Iran,24.81,33.67,30.51,20.17,23.62,16.06,1
178,Vietnam,24.58,23.75,17.16,18.4,30.66,32.95,-4
179,China,22.97,26.06,29.51,17.36,24.87,17.07,-4
180,North Korea,21.72,26.56,21.57,22.64,33.25,4.6,0
